source_id,source_layer,work_title,edition,publisher_or_host,language,script_type,source_url_ref,retrieved_at,rights_status,allowed_uses,review_status,notes
SRC_HISTORY_BASE_1,HISTORY_BASE,三國志,,zh.wikisource.org,zh,traditional_dominant,zh.wikisource.org,2026-08-06,TBD_legal_review,TBD,not_reviewed,"auto-generated from first observed file of this (layer, domain)"
SRC_ROMANCE_2,ROMANCE,三國演義,,zh.wikisource.org,zh,traditional_dominant,zh.wikisource.org,2026-08-06,TBD_legal_review,TBD,not_reviewed,"auto-generated from first observed file of this (layer, domain)"
